Giới tính;Độ tuổi;Chiều cao;Cân nặng;Tạng người của bạn;Giữ/tăng/giảm;kg tăng thêm;Bữa sáng của bạn gồm (6h30- 10h30);Bữa sáng của bạn gồm (6h30- 10h30);Bữa trưa của bạn gồm (11h - 14h);Bữa chiều của bạn gồm (14h30 - 18h);Bữa tối của bạn gồm (18h30 - 21h30)
1;17;172;65;1;1;0;Bánh mì trứng 1 ổ;mì 1,trứng 1 ;cơm 1, thịt heo áp chảo 1,canh rau cải 1;bánh mì 1, patê 0,25;cơm 1, đùi gà chiên 1, trứng luộc 1, canh rau tập tàng 1
0;17;150;46;2;2;2;Hủ tiếu khô 1 hộp;Hủ tiếu khô em gái 11V (1 hộp);Cơm mẹ nấu (1 chén), canh rau (1 chén), sườn (chắc 5 7 cục), cam (1 quả);1 sandwich cá ngừ bắp ABC;Mì quảng 1 tô, trà sữa 1/2ly
0;17;153;54;2;1;0;Bánh mì cá hộp 1 ổ;bánh mì kẹp cá hộp 1;cơm trắng 1 thịt kho tiêu 1canh rau cải 1 bầu xào trứng;;bánh canh cua 1
0;17;163;53;3;1;0;Cháo 1 tô;Cháo 1 ;Cơm 1 Cá chiên 1 bánh 1;;
0;15;162;42;3;3;-5;Sữa milo 1 hộp;Sữa milo 1/mì tôm 1;Cơm, thịt, canh rau;;Như bữa trưa hoặc nhiều hơn một chút
0;15;162;42;3;3;-5;Mì tôm 1 tô;Sữa milo 1/mì tôm 1;Cơm, thịt, canh rau;;Như bữa trưa hoặc nhiều hơn một chút
0;16;160;50;1;2;2.5;Cơm chiên 1 hộp;cơm chiên 1;cơm trắng 1 cá lóc chiên 1 canh chua 1 kem hộp 1;bánh mì 1 cam 1;không
1;17;167;49;3;1;0;Bánh mì sữa 1 ổ;bánh mì , sữa;cơm nấu tại gia;thường ko có hoặc hộp sữa;thường cơm tại gia
1;17;168;64;1;1;0;60Gr mass mutant 1 ly + Sữa tươi 0,5 ly;1 ly mass mutant 60gr + 1/2 ly sữa tươi Vinamilk;Cơm canh theo gia đình;Cơm canh theo gia đình;Cơm canh theo gia đình
1;17;175;65;1;1;0;Xôi 1 hộp + Sữa tươi 1 bịch;xôi mặn 1 , sữa vinamilk bịch 1;cơm trắng 1, gà xào xả ớt 1, canh cải ngọt 1, cá ngừ kho 1;;cơm trắng 1, trứng gà Mỹ 1, đùi gà chiên 1
